id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source,address
ChZDSUhNMG9nS0VJQ0FnSUNLaDVyRFZnEAE,I just grab and go not too much wandering. Due to Covid-19.,2 days ago,2021-04-23 12:29:42.634382,5.0,E M,0,0,https://www.google.com/maps/contrib/113392342144723586327/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChdDSUhNMG9nS0VJQ0FnSUNLLWMzLTdRRRAB,I bought my dog probably 15 times & now when I bring him they don’t allow dogs.,a week ago,2021-04-23 12:29:42.637332,2.0,SAAFIA SEEKWAR,1,0,https://www.google.com/maps/contrib/109640451188865679014/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChZDSUhNMG9nS0VJQ0FnSUNLbWNyNEhBEAE,,a week ago,2021-04-23 12:29:42.641327,4.0,Oscar Villa,0,0,https://www.google.com/maps/contrib/103753719360760686222/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChdDSUhNMG9nS0VJQ0FnSUNLNHFmdmdnRRAB,,3 weeks ago,2021-04-23 12:29:42.644348,3.0,Johannes Harsono,0,0,https://www.google.com/maps/contrib/114190451165725027888/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChZDSUhNMG9nS0VJQ0FnSUNLOUxLR1h3EAE,,3 weeks ago,2021-04-23 12:29:42.648329,5.0,Luisdiego Escobar,3,0,https://www.google.com/maps/contrib/115482631634851956946/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChZDSUhNMG9nS0VJQ0FnSUNLcE4zMEhBEAE,,3 weeks ago,2021-04-23 12:29:42.653344,4.0,J Nasir,27,0,https://www.google.com/maps/contrib/102620807959541894797/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChZDSUhNMG9nS0VJQ0FnSUNLcExhUUJnEAE,,3 weeks ago,2021-04-23 12:29:42.655708,4.0,Piedad EcheverriC,23,0,https://www.google.com/maps/contrib/103844033425840858131/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChdDSUhNMG9nS0VJQ0FnSUNLcE1LXzB3RRAB,,3 weeks ago,2021-04-23 12:29:42.659277,5.0,gloria vasquez,0,0,https://www.google.com/maps/contrib/113607592712728638373/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChdDSUhNMG9nS0VJQ0FnSUNLcEpTSHN3RRAB,,3 weeks ago,2021-04-23 12:29:42.662835,5.0,marian martinez,0,0,https://www.google.com/maps/contrib/115261878347040312197/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
ChdDSUhNMG9nS0VJQ0FnSUNLcE1pSDdRRRAB,(Translated by Google) Excellent comsegui what I was looking for  (Original) Excelente comsegui lo que buscaba,3 weeks ago,2021-04-23 12:29:42.664836,5.0,Alex adorno,0,0,https://www.google.com/maps/contrib/108895103943942489501/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@40.7566576,-73.8391811,17z/data=!3m2!4b1!5s0x89c2600c6fe64a21:0x6240f16e98d624fc!4m5!3m4!1s0x89c2600c43b3cb29:0x807c61698e7753ba!8m2!3d40.7566576!4d-73.836992","131-07 40th Rd Ste. A100, Queens, NY 11354"
